geoid,name,B19013001,"B19013001, Error"
86000US10001,"10001",88526,8060
86000US10002,"10002",35859,2149
86000US10003,"10003",112131,13190
86000US10004,"10004",157645,17195
86000US10005,"10005",173333,33390
86000US10006,"10006",176250,23813
86000US10007,"10007",246813,48436
86000US10009,"10009",61548,4133
86000US10010,"10010",117923,10782
86000US10011,"10011",128613,9947
86000US10012,"10012",109037,7793
86000US10013,"10013",105442,9196
86000US10014,"10014",126601,9872
86000US10016,"10016",117004,8954
86000US10017,"10017",127506,13029
86000US10018,"10018",108914,12194
86000US10019,"10019",98833,5881
86000US10020,"10020",,
86000US10021,"10021",118289,14128
86000US10022,"10022",135363,16706
86000US10023,"10023",130452,9298
86000US10024,"10024",131668,7780
86000US10025,"10025",85930,6789
86000US10026,"10026",58884,6710
86000US10027,"10027",46113,4847
86000US10028,"10028",125140,9597
86000US10029,"10029",34016,2450
86000US10030,"10030",37232,4382
86000US10031,"10031",49891,4564
86000US10032,"10032",50391,6079
86000US10033,"10033",58614,3673
86000US10034,"10034",54716,2915
86000US10035,"10035",30081,2988
86000US10036,"10036",91936,9841
86000US10037,"10037",45041,4626
86000US10038,"10038",86058,7992
86000US10039,"10039",39653,4128
86000US10040,"10040",47137,2918
86000US10044,"10044",100441,14591
86000US10065,"10065",127375,13284
86000US10069,"10069",110625,52647
86000US10075,"10075",137146,21714
86000US10103,"10103",,
86000US10110,"10110",,
86000US10111,"10111",,
86000US10112,"10112",,
86000US10115,"10115",,
86000US10119,"10119",,
86000US10128,"10128",114010,9326
86000US10152,"10152",,
86000US10153,"10153",,
86000US10154,"10154",,
86000US10162,"10162",188880,117068
86000US10165,"10165",,
86000US10167,"10167",,
86000US10168,"10168",,
86000US10169,"10169",,
86000US10170,"10170",,
86000US10171,"10171",,
86000US10172,"10172",,
86000US10173,"10173",,
86000US10174,"10174",,
86000US10177,"10177",,
86000US10199,"10199",,
86000US10271,"10271",,
86000US10278,"10278",,
86000US10279,"10279",,
86000US10280,"10280",169844,18596
86000US10282,"10282",250001,
86000US10301,"10301",55802,4621
86000US10302,"10302",64103,4513
86000US10303,"10303",62558,7868
86000US10304,"10304",52199,8596
86000US10305,"10305",76489,4899
86000US10306,"10306",79569,3518
86000US10307,"10307",80893,7189
86000US10308,"10308",93963,6333
86000US10309,"10309",103175,8409
86000US10310,"10310",72093,4069
86000US10311,"10311",,
86000US10312,"10312",95064,5430
86000US10314,"10314",86742,4953
86000US10451,"10451",28921,2220
86000US10452,"10452",28277,1455
86000US10453,"10453",25275,1964
86000US10454,"10454",21149,2710
86000US10455,"10455",26801,2157
86000US10456,"10456",27106,1336
86000US10457,"10457",27420,1711
86000US10458,"10458",33932,2403
86000US10459,"10459",27687,1741
86000US10460,"10460",26866,1774
86000US10461,"10461",56612,2865
86000US10462,"10462",52409,1675
86000US10463,"10463",58551,2626
86000US10464,"10464",93365,22230
86000US10465,"10465",74796,4003
86000US10466,"10466",51477,2857
86000US10467,"10467",37015,1971
86000US10468,"10468",36046,1969
86000US10469,"10469",63652,3740
86000US10470,"10470",57160,5241
86000US10471,"10471",85707,4043
86000US10472,"10472",30977,1753
86000US10473,"10473",41638,1563
86000US10474,"10474",25493,5640
86000US10475,"10475",50832,5357
86000US10550,"10550",47955,2877
86000US11001,"11001",108438,5281
86000US11003,"11003",97338,7710
86000US11004,"11004",92657,7896
86000US11005,"11005",62993,21656
86000US11040,"11040",124378,4295
86000US11101,"11101",65392,6398
86000US11102,"11102",64067,3442
86000US11103,"11103",71437,2685
86000US11104,"11104",61269,5621
86000US11105,"11105",73959,3559
86000US11106,"11106",63703,3347
86000US11109,"11109",148590,32463
86000US11201,"11201",124996,4594
86000US11203,"11203",51277,2095
86000US11204,"11204",49785,2179
86000US11205,"11205",56708,4056
86000US11206,"11206",36404,2362
86000US11207,"11207",37243,1913
86000US11208,"11208",40733,1497
86000US11209,"11209",72314,2583
86000US11210,"11210",65900,2074
86000US11211,"11211",71225,4878
86000US11212,"11212",26239,1564
86000US11213,"11213",41710,1962
86000US11214,"11214",54041,2111
86000US11215,"11215",123583,4672
86000US11216,"11216",61121,2860
86000US11217,"11217",107362,8051
86000US11218,"11218",69415,2918
86000US11219,"11219",39295,2024
86000US11220,"11220",47079,2852
86000US11221,"11221",50153,2149
86000US11222,"11222",85111,3740
86000US11223,"11223",50108,2992
86000US11224,"11224",33131,2198
86000US11225,"11225",55862,3686
86000US11226,"11226",52052,1854
86000US11228,"11228",67911,3248
86000US11229,"11229",60873,2727
86000US11230,"11230",49541,1921
86000US11231,"11231",100213,8824
86000US11232,"11232",56661,6284
86000US11233,"11233",40449,2341
86000US11234,"11234",81399,2556
86000US11235,"11235",52538,2028
86000US11236,"11236",67669,3399
86000US11237,"11237",51413,4440
86000US11238,"11238",85407,3442
86000US11239,"11239",27104,4882
86000US11351,"11351",,
86000US11354,"11354",42500,3607
86000US11355,"11355",39207,2365
86000US11356,"11356",60493,4425
86000US11357,"11357",83951,3014
86000US11358,"11358",66129,3457
86000US11359,"11359",,
86000US11360,"11360",86174,6949
86000US11361,"11361",85887,5172
86000US11362,"11362",89185,6021
86000US11363,"11363",104792,17677
86000US11364,"11364",76988,3108
86000US11365,"11365",66483,5298
86000US11366,"11366",78990,15106
86000US11367,"11367",57933,5390
86000US11368,"11368",50797,2489
86000US11369,"11369",54121,3234
86000US11370,"11370",65098,6457
86000US11371,"11371",,
86000US11372,"11372",56383,4117
86000US11373,"11373",51183,1925
86000US11374,"11374",63161,2874
86000US11375,"11375",80542,3137
86000US11377,"11377",57010,1993
86000US11378,"11378",73333,2326
86000US11379,"11379",82819,4751
86000US11385,"11385",72261,2180
86000US11411,"11411",93882,4156
86000US11412,"11412",78517,4508
86000US11413,"11413",86324,3916
86000US11414,"11414",71648,9507
86000US11415,"11415",68294,3675
86000US11416,"11416",67461,7542
86000US11417,"11417",73424,4228
86000US11418,"11418",66570,4296
86000US11419,"11419",70882,2970
86000US11420,"11420",67932,4255
86000US11421,"11421",72066,4088
86000US11422,"11422",89235,5647
86000US11423,"11423",70266,3677
86000US11424,"11424",,
86000US11425,"11425",,
86000US11426,"11426",88803,7754
86000US11427,"11427",74581,3799
86000US11428,"11428",73699,5263
86000US11429,"11429",83240,5390
86000US11430,"11430",,
86000US11432,"11432",55906,2423
86000US11433,"11433",51521,3009
86000US11434,"11434",62207,3623
86000US11435,"11435",64086,2633
86000US11436,"11436",75242,4654
86000US11451,"11451",,
86000US11581,"11581",108800,14795
86000US11691,"11691",46147,3089
86000US11692,"11692",44024,4646
86000US11693,"11693",59431,7804
86000US11694,"11694",80976,6821
86000US11697,"11697",103580,12063
